Title,Company,Location,Posted Date,Link
,,,2025-01-30,https://id.linkedin.com/jobs/view/junior-data-science-at-pt-inconis-nusa-jaya-4137806549?position=53&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=%2BLxXVP4jAN8IxgCIbNgSPg%3D%3D
,,,2024-12-31,https://id.linkedin.com/jobs/view/data-scientist-at-mobius-digital-4113797246?position=54&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=9Oh1KWkuDdR3a%2BeR8cGpJg%3D%3D
Quality Assurance Engineer,Paper.id,"Jakarta, Indonesia",2025-03-18,https://id.linkedin.com/jobs/view/quality-assurance-engineer-at-paper-id-4183464217?position=55&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=lp8q2VagocBNBvMrk11eow%3D%3D
Lead Data Scientist,PT Adicipta Inovasi Teknologi,"West Jakarta, Jakarta, Indonesia",2025-03-18,https://id.linkedin.com/jobs/view/lead-data-scientist-at-pt-adicipta-inovasi-teknologi-4183450910?position=56&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=BghzADignX9TqF1v5LVbYQ%3D%3D
Testing Management Program - Yogyakarta,CIMB Niaga,"Yogyakarta, Indonesia",2025-03-14,https://id.linkedin.com/jobs/view/testing-management-program-yogyakarta-at-cimb-niaga-4177177066?position=57&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=bVQvNxnf7eN%2F9V9hGG8xbQ%3D%3D
Python Developer,Mandiri Daya Utama Nusantara,"Kebon Jeruk, Jakarta, Indonesia",2025-01-31,https://id.linkedin.com/jobs/view/python-developer-at-mandiri-daya-utama-nusantara-4139733454?position=58&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=nlmxDaUlYyWT4Y1PkmW%2BCw%3D%3D
Data Scientist (Banking),Staffinc Group,Jakarta Metropolitan Area,2024-07-24,https://id.linkedin.com/jobs/view/data-scientist-banking-at-staffinc-group-3983197532?position=59&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=0rTEtOYorPEwR%2FPkTtmOLA%3D%3D
"Senior Data Scientist, Visa Consulting and Analytics",Visa,Jakarta Metropolitan Area,2025-03-07,https://id.linkedin.com/jobs/view/senior-data-scientist-visa-consulting-and-analytics-at-visa-4177935619?position=60&pageNum=0&refId=7YweKWVuXHxvVJHdmLjkwQ%3D%3D&trackingId=83M3udu0Jb3e1kHLw9YJNg%3D%3D
Data Science Intern,tiket.com,"Jakarta, Jakarta, Indonesia",2025-02-28,https://id.linkedin.com/jobs/view/data-science-intern-at-tiket-com-4171052144?position=1&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=SZKHKc6CFaStv6i%2FX8jg7w%3D%3D
,,,2025-03-10,https://id.linkedin.com/jobs/view/ai-cx-graduate-management-associate-at-wiz-ai-4181018544?position=2&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=2EwKISuHTVeVQ8R7MNIIeg%3D%3D
,,,2025-03-14,https://id.linkedin.com/jobs/view/senior-data-scientist-indonesia-jakarta-at-artefact-4121866431?position=3&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=MsmeLJfp%2FPrz%2BMOJcnFnzQ%3D%3D
,,,2024-12-08,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-gigradar-io-4094276426?position=4&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=pj%2Fd5eWOD%2BbS9bc7tGaGsg%3D%3D
,,,2025-03-18,https://id.linkedin.com/jobs/view/data-scientist-at-amadeus-4183446461?position=5&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=BZY5LiwqtfiWr75H2LuI2Q%3D%3D
,,,2025-02-11,https://id.linkedin.com/jobs/view/data-scientist-risk-platform-at-cermati-com-4149904088?position=6&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=MqexffuzIydJQi0j122CbQ%3D%3D
,,,2024-02-19,https://id.linkedin.com/jobs/view/sr-data-scientist-at-amar-bank-3834482838?position=7&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=B0kUPN3E8ROP%2FvELZuDKUQ%3D%3D
,,,2025-02-09,https://id.linkedin.com/jobs/view/sr-data-scientist-llm-at-yo-it-group-4177106102?position=8&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=I1CLkYPGAgOQ3DXCyBW%2Fjg%3D%3D
,,,2025-01-23,https://id.linkedin.com/jobs/view/medical-artificial-intelligence-ai-engineer-at-pt-daya-cipta-mandiri-solusi-4133592890?position=9&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=LaESzI3ekX9rfyCNIg01Ow%3D%3D
,,,2025-02-25,https://id.linkedin.com/jobs/view/data-scientist-at-amartha-4164150995?position=10&pageNum=2&refId=nID77cN%2B39j9AHJw5Pe94Q%3D%3D&trackingId=%2FfWLmsoCsgIW8ff%2Fa%2B0hTw%3D%3D
